Simulation Name,PID,eventName,eventDateTime,isPartOfCompromise,order,scenario,infoRequested,emailSubject,MANIPULATION,Group,country,age_bin,read,EventDate,EventTime,EventDay,EventTimeBin,EventHour,EventTimeBin_OneHour
MSPC3,87,MessageRead,2023-06-09 21:24:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,MW Malawi,25 - 34,1,2023-06-09,21:24:00,Friday,Night,21,21:00–21:59
MSPC3,86,MessageRead,2023-06-09 16:38:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-09,16:38:00,Friday,Afternoon,16,16:00–16:59
MSC3,86,MessageRead,2023-06-09 16:38:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-09,16:38:00,Friday,Afternoon,16,16:00–16:59
DSC3,86,MessageDeleted,2023-06-09 16:38:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-09,16:38:00,Friday,Afternoon,16,16:00–16:59
DSPC3,86,MessageDeleted,2023-06-09 16:38:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-09,16:38:00,Friday,Afternoon,16,16:00–16:59
DSPC2,86,MessageRead,2023-06-09 16:38:00,False,2,Y08,S,Complete Application,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-09,16:38:00,Friday,Afternoon,16,16:00–16:59
DSC3,86,MessageRead,2023-06-09 16:37:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-09,16:37:00,Friday,Afternoon,16,16:00–16:59
DSPC3,86,MessageRead,2023-06-09 16:37:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-09,16:37:00,Friday,Afternoon,16,16:00–16:59
MSPC3,88,MessageRead,2023-06-09 15:00:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,25 - 34,2,2023-06-09,15:00:00,Friday,Afternoon,15,15:00–15:59
DSC3,88,MessageRead,2023-06-09 15:00:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,25 - 34,2,2023-06-09,15:00:00,Friday,Afternoon,15,15:00–15:59
MSC3,88,MessageRead,2023-06-09 14:59:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,25 - 34,2,2023-06-09,14:59:00,Friday,Afternoon,14,14:00–14:59
DSPC3,88,MessageRead,2023-06-09 14:59:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,2,2023-06-09,14:59:00,Friday,Afternoon,14,14:00–14:59
DSPC2,88,MessageRead,2023-06-09 14:59:00,False,2,Y08,S,Complete Application,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,2,2023-06-09,14:59:00,Friday,Afternoon,14,14:00–14:59
DSPC3,102,MessageRead,2023-06-09 14:30:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-09,14:30:00,Friday,Afternoon,14,14:00–14:59
DSPC3,86,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,92,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,93,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,35 - 44,2,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,88,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,2,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,89,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,91,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,65 - 74,3,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,94,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,65 - 74,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,87,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,MW Malawi,25 - 34,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,95,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,45 - 54,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,96,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,45 - 54,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,97,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,98,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,99,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,100,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,35 - 44,3,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,101,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,SS South Sudan,35 - 44,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,102,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,103,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,90,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,BY Burundi,25 - 34,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
DSPC3,104,SuccessfullyDeliveredEmail,2023-06-09 13:04:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,18 - 24,1,2023-06-09,13:04:00,Friday,Afternoon,13,13:00–13:59
MSPC1,89,MessageRead,2023-06-08 21:39:00,False,1,B07,S,HIRING UPDATE,PC * MS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:39:00,Thursday,Night,21,21:00–21:59
MSC3,89,MessageRead,2023-06-08 21:39:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:39:00,Thursday,Night,21,21:00–21:59
MSC1,89,MessageRead,2023-06-08 21:39:00,False,1,G07,B,UPDATE: Your Award,C * MS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:39:00,Thursday,Night,21,21:00–21:59
DSC,89,MessageRead,2023-06-08 21:39:00,False,1,P03,X,New Account Activity,C * DS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:39:00,Thursday,Night,21,21:00–21:59
DSC2,89,MessageRead,2023-06-08 21:39:00,False,2,P10,X,Lost Package,C * DS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:39:00,Thursday,Night,21,21:00–21:59
DSPC1,89,MessageRead,2023-06-08 21:39:00,False,1,Y03,S,New Job Posting,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:39:00,Thursday,Night,21,21:00–21:59
DSPC2,89,MessageRead,2023-06-08 21:39:00,False,2,Y08,S,Complete Application,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:39:00,Thursday,Night,21,21:00–21:59
MSPC3,89,MessageRead,2023-06-08 21:38:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:38:00,Thursday,Night,21,21:00–21:59
DSC3,89,MessageRead,2023-06-08 21:38:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:38:00,Thursday,Night,21,21:00–21:59
DSC3,86,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,92,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,93,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,35 - 44,2,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,88,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,25 - 34,2,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,89,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,91,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,65 - 74,3,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,94,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,65 - 74,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,87,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,MW Malawi,25 - 34,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,95,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,45 - 54,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,96,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,45 - 54,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,97,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,98,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,99,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,100,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,35 - 44,3,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,101,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,SS South Sudan,35 - 44,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,102,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,103,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,90,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,BY Burundi,25 - 34,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
DSC3,104,SuccessfullyDeliveredEmail,2023-06-08 21:13:00,False,3,P09,X,Unfinished Payment,C * DS,A,CG Democratic Republic of Congo,18 - 24,1,2023-06-08,21:13:00,Thursday,Night,21,21:00–21:59
MSPC3,90,MessageRead,2023-06-08 19:58:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,BY Burundi,25 - 34,1,2023-06-08,19:58:00,Thursday,Evening,19,19:00–19:59
DSPC2,90,MessageRead,2023-06-08 19:58:00,False,2,Y08,S,Complete Application,PC * DS ,A,BY Burundi,25 - 34,1,2023-06-08,19:58:00,Thursday,Evening,19,19:00–19:59
MSPC3,91,MessageRead,2023-06-07 23:39:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,65 - 74,3,2023-06-07,23:39:00,Wednesday,Night,23,23:00–23:59
MSPC3,86,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,92,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,93,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,35 - 44,2,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,88,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,25 - 34,2,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,89,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,91,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,65 - 74,3,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,94,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,65 - 74,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,87,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,MW Malawi,25 - 34,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,95,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,45 - 54,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,96,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,45 - 54,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,97,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,98,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,99,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,100,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,35 - 44,3,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,101,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,SS South Sudan,35 - 44,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,102,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,103,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,90,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,BY Burundi,25 - 34,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSPC3,104,SuccessfullyDeliveredEmail,2023-06-07 15:12:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,18 - 24,1,2023-06-07,15:12:00,Wednesday,Afternoon,15,15:00–15:59
MSC3,102,MessageDeleted,2023-06-06 22:55:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-06,22:55:00,Tuesday,Night,22,22:00–22:59
MSC3,87,MessageReplied,2023-06-06 22:07:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,MW Malawi,25 - 34,1,2023-06-06,22:07:00,Tuesday,Night,22,22:00–22:59
MSC3,87,MessageRead,2023-06-06 21:52:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,MW Malawi,25 - 34,1,2023-06-06,21:52:00,Tuesday,Night,21,21:00–21:59
MSC3,86,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,92,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,93,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,35 - 44,2,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,88,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,25 - 34,2,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,89,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,91,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,65 - 74,3,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,94,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,65 - 74,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,87,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,MW Malawi,25 - 34,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,95,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,45 - 54,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,96,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,45 - 54,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,97,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,98,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,99,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,100,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,35 - 44,3,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,101,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,SS South Sudan,35 - 44,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,102,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
MSC3,103,SuccessfullyDeliveredEmail,2023-06-06 13:46:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,25 - 34,3,2023-06-06,13:46:00,Tuesday,Afternoon,13,13:00–13:59
